% Model:              Probe_43 design optimization with comsol_1 for cell radius sweep.mph
% Version:            COMSOL 5.1.0.234
% Date:               Aug 2 2019, 16:01
% Dimension:          1
% Nodes:              612
% Expressions:        1
% Description:        Point graph
% R                       Height
1700                      0.03784805385699365
1710                      0.038945318839176804
1720                      0.04007254122206481
1730                      0.04122631288535012
1740                      0.04240137948764196
1750                      0.043591912908631354
1760                      0.04479021746271639
1770                      0.045986253933335657
1780                      0.04716896803351707
1790                      0.0483245545011897
1800                      0.049437541500490206
1810                      0.050490863234007886
1820                      0.051465922047909556
1830                      0.05234361683664413
1840                      0.053104541646702884
1850                      0.05373078343157015
1860                      0.05420607803164303
1870                      0.0545174472390219
1880                      0.05465605040731146
1890                      0.05461764963350431
1900                      0.054403133597176176
1910                      0.054018381965733095
1920                      0.05347386760873168
1930                      0.05278374783975094
1940                      0.05196509613793225
1950                      0.0510365759179791
1960                      0.05001756079111914
1970                      0.04892717697377371
1980                      0.047783864612976755
1990                      0.046604064667304795
2000                      0.04540271201020681
2010                      0.04419290014792571
2020                      0.04298521705427108
2030                      0.04178896717006225
2040                      0.04061135354721771
2050                      0.03945785126838133
2060                      0.03833302941900025
2070                      0.0372398732895961
2080                      0.03618039110838214
2090                      0.0351562068459955
2100                      0.03416788006130629
2110                      0.033215611607397735
2120                      0.032299156572424714
2130                      0.0314179401079503
2140                      0.030571285226692717
2150                      0.02975798975500183
2160                      0.02897720604470782
2170                      0.028227714678796336
2180                      0.027508267660524905
2190                      0.026817627413147745
2200                      0.026154603900679824
1700                      0.12142769379103774
1710                      0.12479743179917481
1720                      0.1282964526235854
1730                      0.13192364843356538
1740                      0.13567618293448017
1750                      0.13954795587605337
1760                      0.14352860620492905
1770                      0.14760584943550878
1780                      0.1517605969000378
1790                      0.15596905002536254
1800                      0.16019981031194294
1810                      0.1644148806414015
1820                      0.16856837596379415
1830                      0.17260716028407838
1840                      0.17646727563997286
1850                      0.18008138867346052
1860                      0.18337503229170032
1870                      0.1862725710154992
1880                      0.18869894924329753
1890                      0.1905853508246209
1900                      0.19187218741171877
1910                      0.1925149643451059
1920                      0.19248779042825184
1930                      0.19178476267701225
1940                      0.19042120254846145
1950                      0.18843227833622722
1960                      0.1858704659130493
1970                      0.18280130955818052
1980                      0.1792988985364192
1990                      0.17544100200091722
2000                      0.17130497776420198
2010                      0.16696556668465845
2020                      0.16248961831941058
2030                      0.15793848964684645
2040                      0.1533630194407646
2050                      0.14880736475870432
2060                      0.1443067765480479
2070                      0.13988882826826665
2080                      0.1355757980457455
2090                      0.1313827962240674
2100                      0.1273213769068396
2110                      0.12339818016570615
2120                      0.11961790738993558
2130                      0.1159817550843242
2140                      0.11248924645430693
2150                      0.10913857355326868
2160                      0.10592607277443289
2170                      0.10284829054316916
2180                      0.09990098643029306
2190                      0.09707883922620372
2200                      0.09437649171828214
1700                      0.1854841464778462
1710                      0.1906471509818135
1720                      0.196096948944589
1730                      0.20185242292948097
1740                      0.2079321093118783
1750                      0.21435596452555522
1760                      0.22114370706992423
1770                      0.2283142217184331
1780                      0.23588575578686666
1790                      0.24387145559060716
1800                      0.2522815222664499
1810                      0.2611193750901954
1820                      0.27038133496060496
1830                      0.2800464002226129
1840                      0.29008028447674317
1850                      0.30042353621162
1860                      0.3109900194290725
1870                      0.321658653879939
1880                      0.33226715518481476
1890                      0.3426059760155531
1900                      0.35242070217872395
1910                      0.3614143159779784
1920                      0.36926043260464986
1930                      0.37562165227250144
1940                      0.3801795994573818
1950                      0.3826706370801314
1960                      0.38291795492129266
1970                      0.38085706048922363
1980                      0.3765471872089249
1990                      0.3701635420919406
2000                      0.3619755142961031
2010                      0.35231034716851795
2020                      0.34152123094924874
2030                      0.3299535689296446
2040                      0.31792215784813793
2050                      0.3056942195510108
2060                      0.29349198223174666
2070                      0.28148592253891636
2080                      0.26980006487835057
2090                      0.2585242039944531
2100                      0.24771171355173283
2110                      0.23739760904441196
2120                      0.22759270299784115
2130                      0.218299424392919
2140                      0.20950574623365173
2150                      0.20119672279874595
2160                      0.19335213448653152
2170                      0.18594784464278635
2180                      0.1789609778665181
2190                      0.17236602694813197
2200                      0.1661392932914727
1700                      0.2009982265720983
1710                      0.20702350592173221
1720                      0.21348347572996684
1730                      0.22042194823659506
1740                      0.22789034750064566
1750                      0.23594623981273594
1760                      0.2446559799803647
1770                      0.254095554319979
1780                      0.2643479767201019
1790                      0.275511780734353
1800                      0.28769659978781276
1810                      0.30102967510189177
1820                      0.31564585717247406
1830                      0.3317064328882856
1840                      0.3493768566425716
1850                      0.36883500458447294
1860                      0.3902578713209771
1870                      0.4137975272721509
1880                      0.43955123857663164
1890                      0.4675066933582025
1900                      0.49744423073187766
1910                      0.5288145801651224
1920                      0.5605723837283988
1930                      0.591041757051272
1940                      0.6178192677833835
1950                      0.6380056697534832
1960                      0.6487549257610988
1970                      0.64813044874187
1980                      0.6358506975454854
1990                      0.6134328271180783
2000                      0.5836175087271308
2010                      0.5494976148200035
2020                      0.5137748803103394
2030                      0.47842612040098065
2040                      0.4447013388813621
2050                      0.41327013338215635
2060                      0.38439806644528973
2070                      0.3581072778043066
2080                      0.3342748020310731
2090                      0.3127187333171498
2100                      0.2932191069088284
2110                      0.2755671323422828
2120                      0.2595624334301043
2130                      0.24501763740093616
2140                      0.23176829706133775
2150                      0.2196670283195719
2160                      0.20858613478711643
2170                      0.19841282551690184
2180                      0.18904775631142776
2190                      0.18040660985943965
2200                      0.17241219059541882
1700                      0.19076889555427134
1710                      0.19705079412064447
1720                      0.20386140573045325
1730                      0.2112705844875816
1740                      0.2193539170194012
1750                      0.228206072323108
1760                      0.23793588382580755
1770                      0.24867432400822637
1780                      0.2605791150919784
1790                      0.2738428101335689
1800                      0.28869573281588956
1810                      0.30542673915503515
1820                      0.3243915020015906
1830                      0.3460379146297045
1840                      0.3709164871116796
1850                      0.3997422234116673
1860                      0.43340078257165515
1870                      0.47302143047274486
1880                      0.5199614345045125
1890                      0.5758138267182318
1900                      0.6421357150421415
1910                      0.7197206338609594
1920                      0.8067973534204322
1930                      0.8955640794117702
1940                      0.9682167253866485
1950                      0.9997447033124345
1960                      0.9745546125533048
1970                      0.9021411017107042
1980                      0.8077056327617608
1990                      0.7124164826119437
2000                      0.6266810648196366
2010                      0.5533481500538144
2020                      0.49178774404225706
2030                      0.44031015461640793
2040                      0.3971045831963575
2050                      0.36059426975307723
2060                      0.32948239387421496
2070                      0.30275121347628586
2080                      0.2795905047231701
2090                      0.2593732264241716
2100                      0.24159399727327385
2110                      0.22585490538341824
2120                      0.2118378270221045
2130                      0.19928417416456584
2140                      0.18798150374194697
2150                      0.17775867792263977
2160                      0.16847072101476712
2170                      0.16000039817218295
2180                      0.15224514844919865
2190                      0.14512039167926638
2200                      0.13855385186329963
1700                      0.17091293671748786
1710                      0.1770126640710395
1720                      0.1836821390189978
1730                      0.19100097513670417
1740                      0.1990661361382069
1750                      0.2079927406464439
1760                      0.21792067501634
1770                      0.2290259219063272
1780                      0.24152289530337362
1790                      0.2556796769151857
1800                      0.2718428506028621
1810                      0.29045509542878434
1820                      0.31209789714062663
1830                      0.3375473929941906
1840                      0.36784804225434853
1850                      0.4044745457337445
1860                      0.44947826684145636
1870                      0.5058391181006704
1880                      0.5779314537475447
1890                      0.6721040174735466
1900                      0.7970495414360899
1910                      0.9614404683020042
1920                      1.1593875063414751
1930                      1.3274889332060351
1940                      1.3365978250997617
1950                      1.1718032985975404
1960                      0.9619842463939418
1970                      0.7845603810858192
1980                      0.6498116209991004
1990                      0.5488506767257106
2000                      0.47207716880896056
2010                      0.41241548272652806
2020                      0.36502922897646756
2030                      0.3266384913489769
2040                      0.29498839415123523
2050                      0.2684972965593455
2060                      0.24602383775582085
2070                      0.2267418793208215
2080                      0.21002608898361647
2090                      0.19540841821707194
2100                      0.18251973102497526
2110                      0.17107816810212087
2120                      0.16085617240998565
2130                      0.15167097528825776
2140                      0.1433751263927923
2150                      0.13584755684426353
2160                      0.12898769368951796
2170                      0.12271236247754869
2180                      0.11695040366406345
2190                      0.1116427818040279
2200                      0.1067382995106747
1700                      0.14888604218990512
1710                      0.1545381227685009
